sep=;
Dataset;k;alpha;accuracy;weights;time
pima;5;0.900;65.108;[0.223, 0.727, 0.007, 0.000, 0.000, 0.000, 0.042];8.295
sonar;3;1.000;60.968;[0.000, 0.266, 0.000, 0.237, 0.000, 0.000, 0.497];3.307
pima;3;0.900;54.952;[0.018, 0.000, 0.038, 0.200, 0.415, 0.200, 0.129];10.068
sonar;3;1.000;60.968;[0.000, 0.266, 0.000, 0.237, 0.000, 0.000, 0.497];3.346
pima;7;0.800;65.108;[0.210, 0.000, 0.039, 0.071, 0.608, 0.071, 0.000];9.617
sonar;5;0.000;80.278;[0.000, 0.018, 0.287, 0.000, 0.127, 0.000, 0.568];3.113
pima;5;1.000;65.108;[0.173, 0.582, 0.089, 0.000, 0.131, 0.000, 0.025];8.699
pima;3;1.000;46.747;[0.000, 0.000, 0.163, 0.188, 0.284, 0.188, 0.176];9.640
sonar;5;0.100;76.937;[0.369, 0.000, 0.072, 0.000, 0.121, 0.000, 0.438];2.710
pima;7;0.900;59.643;[0.059, 0.000, 0.069, 0.132, 0.366, 0.132, 0.242];10.006
pima;3;1.000;46.747;[0.000, 0.000, 0.159, 0.178, 0.247, 0.178, 0.237];9.621
sonar;5;0.200;78.865;[0.116, 0.251, 0.000, 0.000, 0.000, 0.000, 0.633];3.012
pima;5;1.000;65.108;[0.206, 0.579, 0.009, 0.000, 0.137, 0.000, 0.070];8.768
ionosphere;3;0.000;64.167;[0.000, 0.000, 0.286, 0.534, 0.000, 0.000, 0.180];5.282
pima;7;1.000;52.611;[0.000, 0.000, 0.166, 0.210, 0.080, 0.210, 0.336];9.551
sonar;5;0.300;73.135;[0.104, 0.183, 0.000, 0.000, 0.000, 0.000, 0.713];2.953
ionosphere;3;0.100;74.056;[0.209, 0.000, 0.036, 0.000, 0.756, 0.000, 0.000];4.499
sonar;5;0.400;72.524;[0.035, 0.284, 0.000, 0.000, 0.000, 0.013, 0.668];3.439
pima;7;1.000;36.586;[0.090, 0.000, 0.105, 0.085, 0.348, 0.085, 0.287];10.013
ionosphere;5;0.100;74.370;[0.193, 0.000, 0.138, 0.000, 0.668, 0.000, 0.000];4.470
ionosphere;5;0.000;64.167;[0.000, 0.128, 0.292, 0.386, 0.000, 0.000, 0.195];6.053
ionosphere;3;0.200;73.833;[0.027, 0.000, 0.021, 0.000, 0.619, 0.000, 0.332];4.717
ionosphere;5;0.200;73.231;[0.038, 0.000, 0.000, 0.000, 0.653, 0.000, 0.309];4.386
sonar;5;0.500;78.833;[0.000, 0.298, 0.000, 0.000, 0.000, 0.000, 0.702];2.825
sonar;5;0.600;64.310;[0.247, 0.323, 0.000, 0.000, 0.000, 0.000, 0.430];2.973
ionosphere;3;0.300;69.574;[0.034, 0.000, 0.088, 0.000, 0.244, 0.244, 0.391];5.334
sonar;5;0.700;63.349;[0.215, 0.322, 0.000, 0.000, 0.000, 0.026, 0.438];3.464
ionosphere;3;0.400;70.389;[0.210, 0.000, 0.000, 0.488, 0.000, 0.000, 0.301];5.161
ionosphere;5;0.300;71.194;[0.000, 0.249, 0.047, 0.000, 0.101, 0.101, 0.501];6.056
sonar;5;0.800;63.881;[0.165, 0.411, 0.000, 0.011, 0.000, 0.000, 0.413];3.371
ionosphere;3;0.500;70.954;[0.188, 0.000, 0.000, 0.499, 0.000, 0.000, 0.314];4.986
ionosphere;3;0.600;73.481;[0.057, 0.000, 0.000, 0.469, 0.000, 0.000, 0.474];4.954
ionosphere;5;0.400;73.213;[0.189, 0.069, 0.000, 0.320, 0.000, 0.000, 0.422];5.948
ionosphere;5;0.500;70.907;[0.105, 0.126, 0.000, 0.338, 0.000, 0.000, 0.431];5.900
sonar;5;0.900;67.730;[0.000, 0.309, 0.000, 0.076, 0.000, 0.000, 0.615];3.252
sonar;5;1.000;67.730;[0.000, 0.316, 0.000, 0.060, 0.000, 0.000, 0.625];3.344
ionosphere;3;0.700;82.296;[0.638, 0.000, 0.039, 0.000, 0.161, 0.161, 0.000];5.217
ionosphere;5;0.600;75.769;[0.000, 0.214, 0.000, 0.000, 0.102, 0.102, 0.582];5.831
sonar;5;1.000;67.730;[0.000, 0.316, 0.000, 0.060, 0.000, 0.000, 0.625];3.314
ionosphere;3;0.800;74.343;[0.382, 0.000, 0.000, 0.000, 0.224, 0.224, 0.170];5.103
ionosphere;5;0.700;78.639;[0.683, 0.140, 0.007, 0.170, 0.000, 0.000, 0.000];6.022
ionosphere;3;0.900;76.361;[0.133, 0.000, 0.000, 0.253, 0.074, 0.074, 0.465];5.934
ionosphere;5;0.800;73.750;[0.551, 0.142, 0.000, 0.000, 0.124, 0.124, 0.059];6.053
ionosphere;5;0.900;77.194;[0.280, 0.038, 0.000, 0.326, 0.000, 0.000, 0.357];5.931
ionosphere;3;1.000;77.204;[0.000, 0.000, 0.000, 0.125, 0.145, 0.145, 0.585];5.877
ionosphere;7;0.000;64.167;[0.044, 0.000, 0.170, 0.000, 0.540, 0.000, 0.246];4.630
ionosphere;3;1.000;76.917;[0.023, 0.000, 0.000, 0.000, 0.209, 0.209, 0.558];5.146
ionosphere;5;1.000;77.250;[0.000, 0.189, 0.000, 0.205, 0.000, 0.000, 0.606];5.798
ionosphere;7;0.100;75.204;[0.184, 0.000, 0.158, 0.000, 0.657, 0.000, 0.000];4.594
ionosphere;7;0.200;76.954;[0.000, 0.000, 0.096, 0.000, 0.692, 0.000, 0.212];4.555
ionosphere;5;1.000;77.185;[0.000, 0.102, 0.000, 0.283, 0.000, 0.000, 0.616];5.789
ionosphere;7;0.300;73.565;[0.045, 0.000, 0.294, 0.000, 0.179, 0.179, 0.303];5.447
ionosphere;7;0.400;72.639;[0.164, 0.000, 0.000, 0.000, 0.203, 0.203, 0.429];5.152
ionosphere;7;0.500;75.509;[0.144, 0.000, 0.264, 0.361, 0.000, 0.000, 0.232];5.221
ionosphere;7;0.700;81.194;[0.504, 0.000, 0.219, 0.277, 0.000, 0.000, 0.000];5.093
sonar;7;0.000;70.611;[0.000, 0.036, 0.282, 0.000, 0.028, 0.192, 0.461];3.717
ionosphere;7;0.600;76.074;[0.000, 0.056, 0.002, 0.373, 0.000, 0.000, 0.569];5.961
ionosphere;7;0.900;77.787;[0.140, 0.000, 0.000, 0.385, 0.000, 0.000, 0.474];5.256
ionosphere;7;0.800;74.870;[0.455, 0.000, 0.052, 0.390, 0.000, 0.000, 0.104];5.391
sonar;7;0.100;67.683;[0.345, 0.000, 0.000, 0.000, 0.024, 0.242, 0.389];3.039
sonar;7;0.200;77.468;[0.073, 0.155, 0.000, 0.158, 0.000, 0.000, 0.614];3.391
ionosphere;7;1.000;77.213;[0.000, 0.036, 0.046, 0.354, 0.000, 0.000, 0.564];6.028
sonar;7;0.300;74.508;[0.237, 0.145, 0.000, 0.000, 0.000, 0.000, 0.618];3.012
ionosphere;7;1.000;75.787;[0.052, 0.054, 0.008, 0.363, 0.001, 0.001, 0.522];7.178
sonar;7;0.400;73.952;[0.126, 0.270, 0.000, 0.000, 0.000, 0.000, 0.604];3.000
sonar;7;0.600;66.730;[0.358, 0.360, 0.000, 0.000, 0.000, 0.000, 0.282];2.946
sonar;7;0.500;76.968;[0.000, 0.148, 0.000, 0.194, 0.000, 0.000, 0.657];3.281
sonar;7;0.700;61.484;[0.000, 0.458, 0.009, 0.000, 0.000, 0.065, 0.469];3.571
sonar;7;0.800;58.516;[0.004, 0.500, 0.044, 0.012, 0.000, 0.000, 0.441];3.520
sonar;7;0.900;67.786;[0.000, 0.369, 0.000, 0.106, 0.000, 0.000, 0.525];3.344
sonar;7;1.000;61.000;[0.000, 0.460, 0.000, 0.000, 0.000, 0.057, 0.482];3.448
sonar;7;1.000;61.000;[0.000, 0.460, 0.000, 0.000, 0.000, 0.057, 0.482];3.421
biodegradation;3;0.200;66.266;[0.000, 0.000, 0.183, 0.000, 0.660, 0.000, 0.157];38.314
biodegradation;3;0.600;66.266;[0.000, 0.000, 0.221, 0.000, 0.614, 0.000, 0.165];37.930
biodegradation;3;0.700;65.128;[0.000, 0.000, 0.224, 0.000, 0.625, 0.000, 0.151];38.021
biodegradation;3;0.400;66.266;[0.153, 0.594, 0.000, 0.000, 0.000, 0.000, 0.253];42.674
biodegradation;3;0.800;66.266;[0.000, 0.639, 0.261, 0.000, 0.000, 0.000, 0.100];43.429
biodegradation;3;0.900;66.266;[0.000, 0.636, 0.212, 0.000, 0.000, 0.000, 0.152];43.261
biodegradation;3;0.300;66.266;[0.139, 0.335, 0.000, 0.000, 0.000, 0.335, 0.192];49.231
vehicle;3;0.000;26.159;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];12.051
biodegradation;3;0.000;66.266;[0.121, 0.197, 0.088, 0.000, 0.197, 0.197, 0.200];53.116
biodegradation;3;0.100;66.266;[0.042, 0.000, 0.056, 0.049, 0.365, 0.365, 0.122];53.027
biodegradation;3;0.500;66.266;[0.127, 0.212, 0.104, 0.000, 0.212, 0.212, 0.133];52.702
vehicle;3;0.100;25.685;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.981
vehicle;3;0.300;25.562;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];12.382
vehicle;3;0.200;30.316;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];12.453
vehicle;3;0.400;23.203;[0.000, 0.000, 0.000, 0.000, 0.267, 0.000, 0.733];12.039
vehicle;3;0.500;24.739;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.397
vehicle;3;0.600;27.114;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.426
vehicle;3;0.700;27.114;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.249
vehicle;3;0.800;26.993;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.205
vehicle;3;0.900;27.114;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.653
vehicle;3;1.000;27.114;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.655
vehicle;3;1.000;27.114;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.694
wdbc;3;0.000;62.443;[0.000, 0.000, 0.487, 0.000, 0.000, 0.000, 0.513];8.726
wdbc;3;0.200;63.130;[0.625, 0.000, 0.000, 0.000, 0.000, 0.000, 0.375];8.170
wdbc;3;0.300;66.572;[0.000, 0.000, 0.623, 0.000, 0.000, 0.000, 0.377];8.610
wdbc;3;0.100;63.112;[0.000, 0.000, 0.519, 0.000, 0.000, 0.044, 0.438];10.350
wdbc;3;0.400;64.351;[0.234, 0.000, 0.285, 0.000, 0.000, 0.000, 0.481];8.851
biodegradation;3;1.000;65.128;[0.000, 0.000, 0.220, 0.000, 0.641, 0.000, 0.139];35.936
biodegradation;3;1.000;65.128;[0.000, 0.000, 0.220, 0.000, 0.641, 0.000, 0.139];35.898
wdbc;3;0.500;84.156;[0.000, 0.000, 0.149, 0.000, 0.000, 0.057, 0.794];10.406
wdbc;3;0.700;85.899;[0.000, 0.000, 0.306, 0.000, 0.000, 0.000, 0.694];8.534
wdbc;3;0.800;86.420;[0.000, 0.000, 0.391, 0.000, 0.000, 0.000, 0.609];8.682
wdbc;3;0.600;87.853;[0.000, 0.062, 0.216, 0.000, 0.000, 0.000, 0.723];10.076
wdbc;3;0.900;82.733;[0.000, 0.000, 0.343, 0.000, 0.000, 0.000, 0.657];8.546
wdbc;3;1.000;71.429;[0.000, 0.000, 0.401, 0.000, 0.000, 0.000, 0.599];8.722
wdbc;3;1.000;77.250;[0.000, 0.000, 0.351, 0.000, 0.000, 0.000, 0.649];8.728
biodegradation;5;0.600;66.266;[0.000, 0.000, 0.147, 0.000, 0.671, 0.000, 0.182];36.197
biodegradation;5;0.700;66.266;[0.105, 0.000, 0.056, 0.000, 0.598, 0.000, 0.240];37.794
biodegradation;5;0.200;66.266;[0.207, 0.285, 0.073, 0.000, 0.285, 0.000, 0.151];43.847
biodegradation;5;0.800;66.266;[0.032, 0.000, 0.172, 0.000, 0.628, 0.000, 0.169];38.218
biodegradation;5;0.400;66.266;[0.190, 0.000, 0.000, 0.013, 0.592, 0.000, 0.205];42.205
biodegradation;5;0.100;66.266;[0.000, 0.000, 0.167, 0.138, 0.309, 0.309, 0.076];48.156
biodegradation;5;0.000;69.191;[0.225, 0.149, 0.140, 0.000, 0.149, 0.149, 0.189];50.270
biodegradation;5;0.900;66.266;[0.024, 0.656, 0.112, 0.000, 0.000, 0.000, 0.209];42.467
biodegradation;5;0.300;66.266;[0.154, 0.188, 0.000, 0.000, 0.188, 0.188, 0.283];48.047
biodegradation;5;0.500;66.266;[0.211, 0.210, 0.000, 0.000, 0.210, 0.210, 0.160];47.129
vehicle;5;0.000;26.159;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];10.749
vehicle;5;0.100;25.685;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.134
vehicle;5;0.200;29.363;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];11.565
vehicle;5;0.300;25.443;[0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000];11.474
vehicle;5;0.500;24.866;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.190
vehicle;5;0.600;26.993;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.282
vehicle;5;0.700;26.993;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.328
vehicle;5;0.400;24.078;[0.000, 0.002, 0.000, 0.000, 0.000, 0.061, 0.937];15.454
vehicle;5;0.800;26.405;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.045
vehicle;5;0.900;26.993;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.290
vehicle;5;1.000;26.993;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.249
wdbc;5;0.000;68.608;[0.000, 0.000, 0.467, 0.000, 0.000, 0.000, 0.533];8.290
vehicle;5;1.000;26.993;[0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 1.000];11.313
wdbc;5;0.200;62.953;[0.000, 0.000, 0.553, 0.000, 0.000, 0.000, 0.447];8.282
wdbc;5;0.100;63.465;[0.000, 0.000, 0.529, 0.000, 0.000, 0.012, 0.459];9.963
wdbc;5;0.300;68.319;[0.000, 0.000, 0.607, 0.000, 0.000, 0.000, 0.393];8.140
wdbc;5;0.400;65.038;[0.003, 0.000, 0.558, 0.000, 0.000, 0.000, 0.439];8.466
wdbc;5;0.500;89.804;[0.000, 0.000, 0.145, 0.000, 0.013, 0.000, 0.842];8.447
biodegradation;5;1.000;66.266;[0.034, 0.000, 0.088, 0.000, 0.661, 0.000, 0.217];34.997
wdbc;5;0.700;82.931;[0.000, 0.000, 0.282, 0.000, 0.000, 0.000, 0.718];8.146
biodegradation;5;1.000;66.266;[0.034, 0.000, 0.088, 0.000, 0.661, 0.000, 0.217];34.774
wdbc;5;0.800;79.553;[0.000, 0.000, 0.333, 0.000, 0.000, 0.000, 0.667];8.075
wdbc;5;0.600;89.265;[0.000, 0.000, 0.153, 0.000, 0.000, 0.014, 0.833];10.008
wdbc;5;0.900;76.736;[0.000, 0.000, 0.251, 0.000, 0.000, 0.000, 0.749];8.215
wdbc;5;1.000;79.538;[0.000, 0.000, 0.331, 0.000, 0.000, 0.000, 0.669];8.251
wdbc;5;1.000;81.327;[0.000, 0.000, 0.337, 0.000, 0.000, 0.000, 0.663];8.306
biodegradation;7;0.200;66.266;[0.267, 0.581, 0.000, 0.000, 0.000, 0.000, 0.152];37.323
biodegradation;7;0.400;66.266;[0.173, 0.565, 0.000, 0.000, 0.000, 0.000, 0.261];38.312
biodegradation;7;0.000;67.960;[0.299, 0.161, 0.000, 0.000, 0.161, 0.161, 0.218];44.599
biodegradation;7;0.800;66.266;[0.062, 0.637, 0.154, 0.000, 0.000, 0.000, 0.147];40.495
