sep=;
sep=;
Dataset;k;alpha;accuracy;weights;individual_accs;time
ThoraricSurgery;5;0.000;85.106;[0.885, 0.000, 0.044, 0.000, 0.000, 0.000, 0.071];[0.824, 0.834, 0.834, 0.851, 0.851, 0.851, 0.821];5.424
ThoraricSurgery;3;0.200;85.106;[0.767, 0.070, 0.064, 0.000, 0.000, 0.000, 0.099];[0.817, 0.789, 0.796, 0.851, 0.827, 0.843, 0.809];6.187
bupa;7;0.300;57.810;[0.547, 0.096, 0.000, 0.000, 0.000, 0.356, 0.000];[0.514, 0.552, 0.592, 0.575, 0.511, 0.481, 0.586];2.273
ThoraricSurgery;5;0.100;85.106;[0.000, 0.492, 0.223, 0.000, 0.000, 0.000, 0.285];[0.828, 0.828, 0.818, 0.851, 0.851, 0.851, 0.837];6.065
sep=;
Dataset;k;alpha;accuracy;weights;individual_accs;time
bupa;3;0.200;55.381;[0.100, 0.274, 0.000, 0.321, 0.000, 0.000, 0.305];[0.511, 0.532, 0.538, 0.579, 0.564, 0.579, 0.512];2.417
bupa;5;0.000;58.652;[0.317, 0.311, 0.000, 0.000, 0.000, 0.000, 0.372];[0.523, 0.527, 0.622, 0.567, 0.518, 0.575, 0.518];2.783
bupa;3;0.500;58.110;[0.555, 0.000, 0.000, 0.367, 0.054, 0.000, 0.023];[0.511, 0.526, 0.517, 0.451, 0.537, 0.579, 0.534];2.858
bupa;3;0.300;58.110;[0.568, 0.059, 0.000, 0.000, 0.000, 0.373, 0.000];[0.511, 0.533, 0.626, 0.579, 0.512, 0.455, 0.555];2.884
bupa;3;0.600;58.081;[0.066, 0.078, 0.230, 0.209, 0.045, 0.275, 0.097];[0.511, 0.526, 0.517, 0.579, 0.512, 0.455, 0.512];2.870
bupa;5;0.100;58.095;[0.165, 0.521, 0.049, 0.000, 0.011, 0.000, 0.254];[0.523, 0.528, 0.519, 0.567, 0.574, 0.575, 0.518];3.021
bupa;3;0.100;55.719;[0.380, 0.222, 0.000, 0.137, 0.000, 0.137, 0.125];[0.511, 0.532, 0.538, 0.579, 0.564, 0.579, 0.512];3.185
bupa;3;0.400;56.295;[0.277, 0.035, 0.000, 0.346, 0.000, 0.302, 0.040];[0.511, 0.526, 0.517, 0.579, 0.567, 0.455, 0.555];3.176
bupa;3;0.000;55.714;[0.279, 0.270, 0.000, 0.105, 0.085, 0.105, 0.157];[0.511, 0.532, 0.626, 0.579, 0.512, 0.579, 0.512];3.208
bupa;3;0.700;58.095;[0.039, 0.031, 0.000, 0.518, 0.068, 0.344, 0.000];[0.511, 0.526, 0.517, 0.579, 0.512, 0.435, 0.512];3.246
bupa;5;0.200;58.095;[0.272, 0.598, 0.001, 0.000, 0.000, 0.000, 0.129];[0.523, 0.528, 0.519, 0.567, 0.574, 0.575, 0.518];2.349
bupa;5;0.400;58.095;[0.000, 0.616, 0.000, 0.000, 0.000, 0.384, 0.000];[0.523, 0.515, 0.508, 0.567, 0.585, 0.448, 0.573];2.249
bupa;5;0.300;58.071;[0.000, 0.398, 0.000, 0.000, 0.257, 0.345, 0.000];[0.523, 0.527, 0.622, 0.575, 0.518, 0.448, 0.573];2.901
bupa;3;0.800;55.724;[0.124, 0.058, 0.081, 0.134, 0.148, 0.220, 0.235];[0.511, 0.526, 0.517, 0.579, 0.512, 0.579, 0.512];3.547
bupa;7;0.000;56.352;[0.288, 0.000, 0.000, 0.169, 0.340, 0.000, 0.204];[0.514, 0.552, 0.592, 0.531, 0.511, 0.575, 0.511];3.064
bupa;3;1.000;57.224;[0.000, 0.173, 0.109, 0.244, 0.376, 0.098, 0.000];[0.511, 0.526, 0.517, 0.579, 0.512, 0.579, 0.512];2.897
bupa;3;1.000;56.014;[0.167, 0.310, 0.031, 0.134, 0.185, 0.038, 0.134];[0.511, 0.526, 0.517, 0.579, 0.512, 0.579, 0.512];2.878
bupa;5;0.500;58.095;[0.000, 0.295, 0.350, 0.335, 0.000, 0.000, 0.020];[0.523, 0.515, 0.508, 0.416, 0.571, 0.575, 0.566];2.970
bupa;7;0.100;58.095;[0.050, 0.000, 0.246, 0.524, 0.006, 0.000, 0.174];[0.514, 0.552, 0.550, 0.531, 0.568, 0.575, 0.511];3.280
bupa;3;0.900;58.386;[0.123, 0.142, 0.245, 0.108, 0.132, 0.249, 0.000];[0.511, 0.526, 0.517, 0.579, 0.512, 0.579, 0.512];3.759
bupa;7;0.200;57.795;[0.491, 0.000, 0.067, 0.259, 0.000, 0.000, 0.184];[0.514, 0.552, 0.550, 0.531, 0.568, 0.575, 0.511];2.350
bupa;5;0.600;58.095;[0.154, 0.467, 0.000, 0.000, 0.000, 0.337, 0.042];[0.523, 0.515, 0.508, 0.575, 0.518, 0.448, 0.518];2.264
bupa;5;0.700;58.095;[0.200, 0.431, 0.002, 0.000, 0.058, 0.310, 0.000];[0.523, 0.515, 0.508, 0.575, 0.518, 0.414, 0.518];2.540
bupa;7;0.400;58.095;[0.002, 0.000, 0.000, 0.604, 0.000, 0.374, 0.020];[0.514, 0.534, 0.511, 0.531, 0.561, 0.481, 0.586];3.060
bupa;7;0.300;57.810;[0.113, 0.303, 0.000, 0.097, 0.135, 0.352, 0.000];[0.514, 0.552, 0.592, 0.575, 0.511, 0.481, 0.586];3.216
bupa;7;0.500;57.810;[0.293, 0.000, 0.324, 0.350, 0.000, 0.000, 0.032];[0.514, 0.534, 0.511, 0.438, 0.588, 0.575, 0.586];2.782
bupa;5;0.800;56.310;[0.000, 0.202, 0.000, 0.201, 0.451, 0.132, 0.014];[0.523, 0.515, 0.508, 0.575, 0.518, 0.575, 0.518];2.601
bupa;7;0.600;58.095;[0.000, 0.441, 0.000, 0.151, 0.039, 0.369, 0.000];[0.514, 0.534, 0.511, 0.575, 0.511, 0.481, 0.511];2.430
bupa;5;0.900;58.386;[0.197, 0.231, 0.214, 0.059, 0.000, 0.000, 0.299];[0.523, 0.515, 0.508, 0.575, 0.518, 0.575, 0.518];2.608
bupa;7;0.700;58.095;[0.066, 0.269, 0.051, 0.209, 0.000, 0.324, 0.082];[0.514, 0.534, 0.511, 0.575, 0.511, 0.428, 0.511];2.816
ThoraricSurgery;5;0.000;85.106;[0.883, 0.000, 0.046, 0.000, 0.000, 0.000, 0.071];[0.824, 0.834, 0.834, 0.851, 0.851, 0.851, 0.821];5.652
ThoraricSurgery;3;0.100;85.106;[0.767, 0.070, 0.064, 0.000, 0.000, 0.000, 0.099];[0.817, 0.789, 0.796, 0.851, 0.827, 0.843, 0.809];6.445
ThoraricSurgery;3;0.000;85.106;[0.275, 0.081, 0.057, 0.581, 0.000, 0.000, 0.006];[0.816, 0.804, 0.835, 0.851, 0.827, 0.828, 0.840];7.350
ThoraricSurgery;3;0.200;85.106;[0.767, 0.070, 0.064, 0.000, 0.000, 0.000, 0.099];[0.817, 0.789, 0.796, 0.851, 0.827, 0.843, 0.809];6.843
ThoraricSurgery;5;0.100;85.106;[0.000, 0.492, 0.223, 0.000, 0.000, 0.000, 0.285];[0.828, 0.828, 0.818, 0.851, 0.851, 0.851, 0.837];6.321
bupa;7;0.800;58.029;[0.306, 0.186, 0.111, 0.000, 0.155, 0.030, 0.213];[0.514, 0.534, 0.511, 0.575, 0.511, 0.575, 0.511];2.659
bupa;5;1.000;58.095;[0.029, 0.000, 0.289, 0.238, 0.116, 0.029, 0.297];[0.523, 0.515, 0.508, 0.575, 0.518, 0.575, 0.518];3.143
ThoraricSurgery;7;0.000;85.106;[0.559, 0.000, 0.000, 0.000, 0.000, 0.000, 0.441];[0.827, 0.841, 0.833, 0.851, 0.851, 0.851, 0.829];5.379
ThoraricSurgery;5;0.200;85.106;[0.000, 0.492, 0.223, 0.000, 0.000, 0.000, 0.285];[0.828, 0.828, 0.818, 0.851, 0.851, 0.851, 0.837];6.860
bupa;7;0.900;55.119;[0.008, 0.439, 0.198, 0.000, 0.093, 0.000, 0.262];[0.514, 0.534, 0.511, 0.575, 0.511, 0.575, 0.511];2.829
ThoraricSurgery;7;0.100;85.106;[0.347, 0.000, 0.291, 0.000, 0.000, 0.000, 0.362];[0.830, 0.830, 0.833, 0.851, 0.851, 0.851, 0.847];6.156
bupa;5;1.000;58.095;[0.000, 0.268, 0.085, 0.070, 0.292, 0.106, 0.179];[0.523, 0.515, 0.508, 0.575, 0.518, 0.575, 0.518];3.286
ThoraricSurgery;3;0.300;85.106;[0.842, 0.045, 0.000, 0.000, 0.000, 0.000, 0.113];[0.810, 0.801, 0.796, 0.851, 0.827, 0.843, 0.809];6.270
ThoraricSurgery;7;0.200;85.106;[0.347, 0.000, 0.291, 0.000, 0.000, 0.000, 0.362];[0.830, 0.830, 0.833, 0.851, 0.851, 0.851, 0.847];5.910
ThoraricSurgery;5;0.300;85.106;[0.000, 0.875, 0.007, 0.000, 0.000, 0.000, 0.118];[0.839, 0.834, 0.814, 0.851, 0.851, 0.851, 0.837];6.855
bupa;7;1.000;58.095;[0.182, 0.202, 0.250, 0.000, 0.019, 0.067, 0.279];[0.514, 0.534, 0.511, 0.575, 0.511, 0.575, 0.511];2.729
bupa;7;1.000;58.376;[0.060, 0.000, 0.328, 0.122, 0.323, 0.152, 0.014];[0.514, 0.534, 0.511, 0.575, 0.511, 0.575, 0.511];2.676
ThoraricSurgery;5;0.400;85.106;[0.110, 0.890, 0.000, 0.000, 0.000, 0.000, 0.000];[0.818, 0.825, 0.816, 0.851, 0.851, 0.851, 0.834];6.387
ThoraricSurgery;7;0.300;85.106;[0.861, 0.000, 0.018, 0.000, 0.000, 0.000, 0.121];[0.840, 0.842, 0.828, 0.851, 0.851, 0.851, 0.847];5.843
ThoraricSurgery;5;0.500;85.106;[0.000, 0.000, 0.067, 0.000, 0.000, 0.000, 0.933];[0.830, 0.837, 0.811, 0.851, 0.846, 0.851, 0.831];5.514
ThoraricSurgery;3;0.400;85.106;[0.242, 0.080, 0.102, 0.356, 0.003, 0.000, 0.217];[0.800, 0.801, 0.803, 0.851, 0.827, 0.828, 0.834];7.829
ThoraricSurgery;7;0.400;85.106;[0.000, 0.000, 0.035, 0.000, 0.000, 0.000, 0.965];[0.831, 0.830, 0.844, 0.851, 0.851, 0.851, 0.827];5.410
ThoraricSurgery;7;0.500;85.106;[0.000, 0.000, 0.292, 0.000, 0.000, 0.000, 0.708];[0.835, 0.845, 0.836, 0.849, 0.851, 0.851, 0.831];5.458
ThoraricSurgery;3;0.500;85.106;[0.376, 0.056, 0.042, 0.000, 0.029, 0.000, 0.497];[0.811, 0.807, 0.818, 0.851, 0.824, 0.828, 0.800];6.744
ThoraricSurgery;3;0.600;85.106;[0.702, 0.000, 0.011, 0.000, 0.063, 0.000, 0.224];[0.807, 0.802, 0.824, 0.851, 0.822, 0.827, 0.820];5.650
ThoraricSurgery;5;0.600;85.106;[0.000, 0.000, 0.000, 0.757, 0.000, 0.000, 0.243];[0.838, 0.831, 0.836, 0.830, 0.851, 0.851, 0.837];5.731
ThoraricSurgery;5;0.700;85.106;[0.000, 0.450, 0.114, 0.000, 0.000, 0.000, 0.436];[0.830, 0.825, 0.832, 0.851, 0.851, 0.851, 0.823];5.900
ThoraricSurgery;3;0.700;84.255;[0.663, 0.068, 0.000, 0.000, 0.000, 0.000, 0.269];[0.811, 0.793, 0.795, 0.851, 0.827, 0.827, 0.799];5.513
ThoraricSurgery;7;0.600;85.106;[0.000, 0.991, 0.000, 0.000, 0.000, 0.000, 0.009];[0.841, 0.839, 0.841, 0.850, 0.851, 0.851, 0.845];5.544
ThoraricSurgery;5;0.800;85.319;[0.839, 0.000, 0.000, 0.000, 0.027, 0.000, 0.133];[0.827, 0.833, 0.833, 0.850, 0.846, 0.851, 0.830];5.188
ThoraricSurgery;3;0.800;84.468;[0.575, 0.053, 0.000, 0.000, 0.000, 0.000, 0.373];[0.798, 0.806, 0.797, 0.849, 0.824, 0.827, 0.789];5.760
ThoraricSurgery;7;0.800;85.106;[1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000];[0.827, 0.840, 0.835, 0.843, 0.851, 0.851, 0.833];4.884
